Date,SP_Composite,Dividend,Earnings,CPI,Date_Fraction,Long_Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Year
1900.01,6.1,0.2175,0.48,7.897091074,1900.0416666666404,3.15,236.46400079493364,8.431298388999682,1063.3358659373823,18.60700334124068,1900.0
1900.02,6.21,0.225,0.48,7.992232066,1900.1249999999736,3.145833333333333,237.86243433637551,8.6182041426223,1072.8539109544413,18.385502170927573,1900.0
1900.03,6.26,0.2325,0.48,7.992232066,1900.2083333333069,3.1416666666666666,239.77759081251378,8.905477614043043,1084.839295829234,18.385502170927573,1900.0
1900.04,6.34,0.24,0.48,7.992232066,1900.2916666666401,3.1374999999999997,242.84184117433503,9.192751085463787,1102.1689970405635,18.385502170927573,1900.0
1900.05,6.04,0.2475,0.48,7.801941983,1900.3749999999734,3.1333333333333337,236.9935721169025,9.711243228300225,1079.2988515423638,18.83392626094589,1900.0
1900.06,5.86,0.255,0.48,7.706792893,1900.4583333333067,3.129166666666667,232.76960661929647,10.129052847768019,1063.9064586075995,19.066452419328034,1900.0
1900.07,5.86,0.2625,0.48,7.801941983,1900.54166666664,3.125,229.9308497690478,10.299803423954785,1054.854577525543,18.83392626094589,1900.0
1900.08,5.94,0.27,0.48,7.706792893,1900.6249999999732,3.1208333333333336,235.94734868918445,10.724879485872021,1086.5567050079092,19.066452419328034,1900.0
1900.09,5.8,0.2775,0.48,7.801941983,1900.7083333333064,3.116666666666667,227.57660898642953,10.888363619609345,1052.1872520197655,18.83392626094589,1900.0
1900.1,6.01,0.285,0.48,7.706792893,1900.7916666666397,3.1125000000000003,238.72787300033647,11.320706123976022,1108.106193418488,19.066452419328034,1900.0
1900.11,6.48,0.2925,0.48,7.706792893,1900.874999999973,3.1083333333333334,257.3971076609285,11.61861944302802,1199.2576076233574,19.066452419328034,1900.0
1900.12,6.87,0.3,0.48,7.611651901,1900.9583333333062,3.104166666666667,276.29954080318623,12.065482131143503,1292.0119075260313,19.304771409829602,1900.0
1901.01,7.07,0.3017,0.4817,7.706792893,1901.0416666666395,3.1,280.83295542635256,11.984059781065143,1317.8806488043415,19.13397943831316,1901.0
1901.02,7.25,0.3033,0.4833,7.611651901,1901.1249999999727,3.106666666666667,291.582484835968,12.198202434586083,1373.0958377792458,19.437491713272188,1901.0
1901.03,7.51,0.305,0.485,7.611651901,1901.208333333306,3.1133333333333333,302.03923601629236,12.266573499995896,1427.151622197567,19.505862778681998,1901.0
1901.04,8.14,0.3067,0.4867,7.51650281,1901.2916666666392,3.12,331.5209097886308,12.491088824591282,1571.3725373246166,19.822018033676486,1901.0
1901.05,7.73,0.3083,0.4883,7.51650281,1901.3749999999725,3.126666666666667,314.82268214571445,12.556252639783152,1497.1843848841995,19.88718184886835,1901.0
1901.06,8.5,0.31,0.49,7.51650281,1901.4583333333057,3.1333333333333333,346.1827682068011,12.625489193424512,1651.3252955746275,19.956418402509712,1901.0
1901.07,7.93,0.3117,0.4917,7.611651901,1901.541666666639,3.14,318.9309109998933,12.5360359342581,1526.3144755841224,19.775325212944203,1901.0
1901.08,8.04,0.3133,0.4933,7.706792893,1901.6249999999723,3.146666666666667,319.36307802374455,12.444832381198903,1533.3458315648911,19.59475203844692,1901.0
1901.09,8,0.315,0.495,7.801941983,1901.7083333333055,3.1533333333333333,313.8987710157649,12.359764108745741,1512.0554671603843,19.42248645660045,1901.0
1901.1,7.91,0.3167,0.4967,7.801941983,1901.7916666666388,3.16,310.36740984183757,12.42646759758659,1500.033051138681,19.4891899454413,1901.0
1901.11,8.08,0.3183,0.4983,7.897091074,1901.874999999972,3.1666666666666665,313.2178895775515,12.338769090660229,1518.7792008670524,19.316395343625484,1901.0
1901.12,7.95,0.32,0.5,7.992232066,1901.9583333333053,3.173333333333334,304.50987970598794,12.257001447285049,1481.5072630550285,19.15156476138289,1901.0
1902.01,8.12,0.3208,0.5108,7.897091074,1902.0416666666385,3.18,314.7684731893215,12.435680566395854,1536.4594264915315,19.800952722303627,1902.0
1902.02,8.19,0.3217,0.5217,7.897091074,1902.1249999999718,3.1900000000000004,317.4819945099191,12.470568697660681,1554.7774161852424,20.22348675651097,1902.0
1902.03,8.2,0.3225,0.5325,7.897091074,1902.208333333305,3.1999999999999997,317.8696404128616,12.501580369896084,1561.777711328323,20.64214433168888,1902.0
1902.04,8.48,0.3233,0.5433,7.992232066,1902.2916666666383,3.21,324.81053835305386,12.383401774710176,1600.9504250974157,20.81009026971865,1902.0
1902.05,8.46,0.3242,0.5542,8.087381157,1902.3749999999716,3.2199999999999998,320.2320503663136,12.271776681886392,1583.424135845094,20.977848973169152,1902.0
1902.06,8.41,0.325,0.565,8.18251405,1902.4583333333048,3.2300000000000004,314.63829567148736,12.159030451038454,1560.7753170845506,21.138006784113003,1902.0
1902.07,8.6,0.3258,0.5758,8.18251405,1902.541666666638,3.2399999999999998,321.74665193517137,12.188960372148701,1601.075240997144,21.542060719101357,1902.0
1902.08,8.83,0.3267,0.5867,8.087381157,1902.6249999999714,3.25,334.237471008812,12.366407902443814,1668.3601792793686,22.208054840415627,1902.0
1902.09,8.85,0.3275,0.5975,8.18251405,1902.7083333333046,3.26,331.09975228212403,12.25256145450798,1657.7947236329564,22.35390982921685,1902.0
1902.1,8.57,0.3283,0.6083,8.753424793,1902.7916666666379,3.27,299.7127109720516,11.481409919734483,1505.432423768607,21.27365718603255,1902.0
1902.11,8.24,0.3292,0.6192,8.467928926,1902.8749999999711,3.2800000000000002,297.88754984172374,11.90104143299702,1501.2462851961902,22.384947920145063,1902.0
1902.12,8.05,0.33,0.63,8.563094215,1902.9583333333044,3.29,287.7845686531431,11.797379832985989,1455.28543431383,22.522270590245977,1902.0
1903.01,8.46,0.3317,0.6217,8.658259504,1903.0416666666376,3.3,299.1176978240868,11.727818010431394,1517.537607129842,21.98126155286463,1903.0
1903.02,8.41,0.3333,0.6133,8.658259504,1903.124999999971,3.308333333333333,297.3498627305638,11.784388733424127,1513.5509317966905,21.684265257152767,1903.0
1903.03,8.08,0.335,0.605,8.372844628,1903.2083333333042,3.3166666666666664,295.42053028527783,12.248252183857435,1508.9258073203164,22.119977824578353,1903.0
1903.04,7.75,0.3367,0.5967,8.372844628,1903.2916666666374,3.325,283.3550878355078,12.310407493447158,1452.538731436821,21.816513665993227,1903.0
1903.05,7.6,0.3383,0.5883,8.18251405,1903.3749999999707,3.333333333333333,284.33425054736074,12.656615389496334,1462.9648383324395,22.009715736448992,1903.0
1903.06,7.18,0.34,0.58,8.18251405,1903.458333333304,3.341666666666667,268.6210419644803,12.720216471855613,1387.5708170587282,21.699192804930163,1903.0
1903.07,6.85,0.3417,0.5717,8.18251405,1903.5416666666372,3.3499999999999996,256.27494950650276,12.78381755421489,1329.299606666857,21.388669873411335,1903.0
1903.08,6.63,0.3433,0.5633,8.18251405,1903.6249999999704,3.3583333333333334,248.04422120118443,12.843677396435389,1292.158458167687,21.074405701753726,1903.0
